Dataset	Number of Genes	Number of Cells	Has Raw Counts	Size (GB)
AdamsonWeissman2016_GSM2406675_10X001.h5ad	35635	5768	Yes	0.032183943316340446
AdamsonWeissman2016_GSM2406677_10X005.h5ad	32738	15006	Yes	0.12950937915593386
AdamsonWeissman2016_GSM2406681_10X010.h5ad	32738	65337	Yes	0.43892017658799887
AissaBenevolenskaya2021.h5ad	17820	119071	Yes	0.04276550840586424
ChangYe2021.h5ad	45066	42277	Yes	0.467359134927392
DatlingerBock2017.h5ad	36722	5905	Yes	0.036400897428393364
DatlingerBock2021.h5ad	25904	39194	Yes	0.03129316493868828
DixitRegev2016.h5ad	23529	51898	Yes	0.2880413746461272
FrangiehIzar2021_RNA.h5ad	23712	218331	Yes	1.3587329052388668
McFarlandTsherniak2020.h5ad	32738	182875	Yes	1.3591822516173124
NormanWeissman2019_filtered.h5ad	33694	111445	Yes	0.6506966417655349
PapalexiSatija2021_eccite_RNA.h5ad	18649	20729	Yes	0.1371049117296934
PapalexiSatija2021_eccite_arrayed_RNA.h5ad	16826	8984	Yes	0.0487448601052165
ReplogleWeissman2022_K562_essential.h5ad	8563	310385	Yes	1.4405042631551623
ReplogleWeissman2022_K562_gwps.h5ad	8248	1989578	Yes	8.200729409232736
ReplogleWeissman2022_rpe1.h5ad	8749	247914	Yes	1.151940692216158
SchiebingerLander2019_GSE106340.h5ad	27998	68339	Yes	0.35283968411386013
SchiebingerLander2019_GSE115943.h5ad	27998	259155	Yes	1.5282598482444882
ShifrutMarson2018.h5ad	33694	52236	Yes	0.2364100981503725
SrivatsanTrapnell2020_sciplex2.h5ad	58347	24262	Yes	0.13520801812410355
SrivatsanTrapnell2020_sciplex4.h5ad	58347	98437	Yes	0.23593748454004526
TianKampmann2019_day7neuron.h5ad	33752	182790	Yes	0.2504526963457465
TianKampmann2019_iPSC.h5ad	33752	275708	Yes	0.3267531180754304
TianKampmann2021_CRISPRa.h5ad	33538	21193	Yes	0.14415799919515848
TianKampmann2021_CRISPRi.h5ad	33538	32300	Yes	0.26951495464891195
XieHon2017.h5ad	26539	13283	Yes	0.10929662641137838
ZhaoSims2021.h5ad	60725	165748	Yes	0.5465821735560894
